Mechanism,Imputation_Method,MR,Accuracy,Precision,Recall,F1_Score
MCAR,HAT,20,82.36328615693827,90.09710516672774,90.56169429097606,90.32880235121235
MCAR,HAT,25,79.84541223404256,89.12700621578996,88.4622467771639,88.79338231896114
MCAR,MLP,05,92.95535186280307,96.2053400657945,96.49324739103746,96.3490786499636
MCAR,MLP,10,89.19174298589911,94.41409556051397,94.16052793124616,94.28714126551154
MCAR,MLP,15,86.48319357844191,92.90883892824145,92.5951503990178,92.75172943889316
MCAR,MLP,20,83.24301499049898,90.94963475586313,90.76120319214242,90.85532127357222
MCAR,MLP,25,81.03460328556449,90.10493587252235,88.95027624309392,89.52388307525968
MAR_l,None,05,72.79900332225914,88.13474107591755,80.70902394106814,84.25859168469117
MAR_l,None,10,57.405956112852664,79.40379403794037,67.44935543278085,72.94000497883995
MAR_l,None,15,46.11300720515737,72.33789411064842,55.98526703499079,63.11964702828965
MAR_l,None,20,36.82039745031871,66.48612051455653,45.21178637200737,53.822965195944086
MAR_l,None,25,28.421447319085114,60.49481245011972,34.898710865561696,44.26277372262774
MAR_l,Mean,05,77.3067331670823,88.82521489971347,85.6353591160221,87.20112517580871
MAR_l,Mean,10,63.688250344420396,81.44978605587717,74.49355432780848,77.81652037994469
MAR_l,Mean,15,52.503382949932345,76.61495063469675,62.523020257826886,68.85536823425022
MAR_l,Mean,20,43.37890990822251,69.94865599516761,53.31491712707182,60.50947093403005
MAR_l,Mean,25,34.501198598561686,63.42372881355932,43.07090239410682,51.30244036194133
MAR_l,LR,05,77.10678012626956,87.94614902943017,86.21853898096991,87.07377557346557
MAR_l,LR,10,62.45348389580393,79.21549479166666,74.69306322897484,76.88783570300158
MAR_l,LR,15,49.18461346943857,72.25676664228237,60.6353591160221,65.93791722296395
MAR_l,LR,20,39.72242163196937,64.31615652847734,50.951503990178026,56.85905120739852
MAR_l,LR,25,31.313485113835377,56.689917564996826,41.16022099447514,47.69271805814884
MAR_l,HT,05,76.1041090275643,87.39703459637562,85.48572744014733,86.43081578028628
MAR_l,HT,10,60.78689759036144,76.93590659995235,74.33241252302025,75.61175506380987
MAR_l,HT,15,47.25047250472505,68.42173856379512,60.428176795580114,64.17700629545871
MAR_l,HT,20,37.68288533514801,59.08242197919446,50.98987108655617,54.73866304213517
MAR_l,HT,25,29.520598634980676,50.82825994619849,41.32136279926335,45.584407339216554
MAR_l,HAT,05,69.43573667711598,82.34200743494424,81.58379373848987,81.96114708603146
MAR_l,HAT,10,52.918427272076194,70.42508577964163,68.03867403314918,69.21131509928811
MAR_l,HAT,15,40.40219378427788,60.41919805589308,54.944751381215475,57.552083333333336
MAR_l,HAT,20,30.834818019852378,49.948464234178516,44.62246777163904,47.135492656356384
MAR_l,HAT,25,25.130004385690118,44.0188762071993,36.93370165745856,40.16623272581614
MAR_l,MLP,05,72.08548365753606,83.95623025352546,83.60190300798035,83.7786919912338
MAR_l,MLP,10,56.23635040038826,72.86590158780066,71.13259668508287,71.98881727110351
MAR_l,MLP,15,44.121723062709314,64.06472708979626,58.63259668508287,61.2284145999439
MAR_l,MLP,20,34.114344328672466,53.505503810330225,48.488336402701044,50.87352065051124
MAR_l,MLP,25,27.983539094650205,47.247461250668096,40.699815837937386,43.729903536977496
MAR_m,None,05,81.63865546218487,90.3300790330079,89.45672191528546,89.8912792042563
MAR_m,None,10,69.87023519870236,85.42389687654934,79.32780847145487,82.26306994509429
MAR_m,None,15,65.01182033096927,81.84523809523809,75.96685082872928,78.79656160458454
MAR_m,None,20,57.57002271006812,76.39377197388248,70.02762430939227,73.07230362719194
MAR_m,None,25,52.509931383170816,70.89224768405656,66.94290976058932,68.86099928960454
MAR_m,Mean,05,87.17837837837837,93.48481335497334,92.81767955801105,93.15005198105578
MAR_m,Mean,10,78.7872429710449,89.89705530284894,86.44106813996318,88.13519539960099
MAR_m,Mean,15,75.1853377265239,87.7011770357915,84.04696132596685,85.83519454566829
MAR_m,Mean,20,70.15464952801767,84.6172480620155,80.40976058931861,82.45986779981114
MAR_m,Mean,25,65.74650077760498,80.87039693926351,77.85451197053406,79.33380248651184
MAR_m,LR,05,90.22534386889085,95.09561998766193,94.62860650705954,94.86153846153846
MAR_m,LR,10,84.13062159839588,92.64984227129337,90.14732965009208,91.38145612943372
MAR_m,LR,15,81.0067681895093,90.8875177978168,88.16758747697975,89.5068941341435
MAR_m,LR,20,77.15827338129496,88.67864525361743,85.58931860036833,87.10659898477158
MAR_m,LR,25,73.64299216851202,85.97099621689786,83.70165745856355,84.82115085536547
MAR_m,HT,05,91.90175904414205,95.94594594594594,95.6146408839779,95.78000691802144
MAR_m,HT,10,86.94894960269947,94.12041946506422,91.94290976058932,93.018922852984
MAR_m,HT,15,84.18170103092784,92.62672811059907,90.22790055248619,91.41157949973761
MAR_m,HT,20,80.9317557574477,90.78089821068846,88.17909760589319,89.46108483680739
MAR_m,HT,25,78.08091286307054,88.77226087982073,86.63674033149171,87.69150113590027
MAR_m,HAT,05,92.92003913546206,96.46352723915051,96.19705340699815,96.33010603964959
MAR_m,HAT,10,88.79817399701518,95.0122111591208,93.13996316758748,94.06677206361014
MAR_m,HAT,15,86.34430072054866,93.78595002357379,91.58379373848987,92.6717912881435
MAR_m,HAT,20,83.5658649319524,92.2255809559796,89.8987108655617,91.04728154434393
MAR_m,HAT,25,80.9435551811289,90.48785081936335,88.47145488029466,89.46829313716361
MAR_m,MLP,05,93.46113835636795,96.72408489695479,96.51626764886433,96.62006452604088
MAR_m,MLP,10,89.65947453397915,95.36335961283272,93.74616329036218,94.54784661223543
MAR_m,MLP,15,87.33478576615832,94.21811344406143,92.280540208717,93.23926190106992
MAR_m,MLP,20,84.84283048657959,92.9110342659541,90.71516267648865,91.79996893927628
MAR_m,MLP,25,82.31884057971014,91.27537822372031,89.34929404542665,90.30206677265501
MAR_h,None,05,75.66889632107024,89.16256157635468,83.33333333333334,86.14945264159924
MAR_h,None,10,63.654223968565816,81.28449573507275,74.58563535911603,77.79111644657863
MAR_h,None,15,55.58970418747599,77.05005324813632,66.6206261510129,71.4567901234568
MAR_h,None,20,50.76161462300076,74.59429210968102,61.37200736648251,67.34023743369536
MAR_h,None,25,46.04668674698795,71.64616285881664,56.307550644567215,63.05748904356793
MAR_h,Mean,05,81.60136286201022,91.58699808795411,88.21362799263352,89.86866791744839
MAR_h,Mean,10,72.16914006911975,86.06060606060606,81.7219152854512,83.83516353760774
MAR_h,Mean,15,65.27147087857847,82.09585299230197,76.10497237569061,78.98697885557281
MAR_h,Mean,20,60.726846424384526,80.06182380216383,71.54696132596685,75.56528081692194
MAR_h,Mean,25,57.34697818111605,78.05519053876479,68.37016574585635,72.89237943305928
MAR_h,LR,05,84.77573317998849,93.05665141234022,90.50030693677103,91.76067844083093
MAR_h,LR,10,74.38510667210218,86.65505778059205,84.00859422958871,85.31130678718928
MAR_h,LR,15,65.58290155440415,80.78825594383278,77.7010435850215,79.21458186654151
MAR_h,LR,20,59.22354732301446,77.36161750082864,71.63904235727439,74.39043824701196
MAR_h,LR,25,55.5500921942225,73.62333007494298,69.3523634131369,71.42405563458195
MAR_h,HT,05,85.26588286053286,93.13147973609802,90.98756906077348,92.04704238472287
MAR_h,HT,10,73.7864077669903,85.87570621468926,83.97790055248619,84.91620111731844
MAR_h,HT,15,64.52790317932956,79.58772657268096,77.32504604051566,78.44007239185008
MAR_h,HT,20,55.9644786230889,73.22712026832774,70.36141804788214,71.76567269312045
MAR_h,HT,25,51.76625659050966,68.63567517185133,67.80616942909761,68.21840078744717
MAR_h,HAT,05,86.44567858382506,93.75117635987202,91.73112338858195,92.7301498650284
MAR_h,HAT,10,73.85136224407545,85.56219648860665,84.3646408839779,84.95919881305637
MAR_h,HAT,15,63.63498214421397,78.44698388909704,77.11786372007367,77.77674591381873
MAR_h,HAT,20,54.08917929202269,71.06603773584905,69.3646408839779,70.20503261882571
MAR_h,HAT,25,50.7068607068607,67.20859740975476,67.37569060773481,67.29204028141812
MAR_h,MLP,05,86.99963807455664,93.88376816122481,92.2268262737876,93.04792134396531
MAR_h,MLP,10,74.71318666486705,86.1087345414949,84.9524248004911,85.52667155934954
