mechanism,missing_rate,imputer,rmse,time
MNAR_m,25,reg_opt_00001,18.23,282.69
MNAR_m,25,tree_gp_1000,19.21,355.18
MNAR_m,25,tree_gp_10000,17.98,358.82
MNAR_m,25,knn_k_10,19.17,6240.58
MNAR_m,25,knn_k_100,19.73,7357.4
MNAR_m,25,mlp_opt_001,18.25,1430.53
MNAR_m,25,mlp_opt_0001,20.46,1474.47
MNAR_h,05,mean,37.3,108.5
MNAR_h,05,reg_opt_001,28.76,312.02
MNAR_h,05,reg_opt_0001,29.67,279.75
MNAR_h,05,reg_opt_00001,29.84,287.18
MNAR_h,05,tree_gp_1000,31.62,395.72
MNAR_h,05,tree_gp_10000,29.83,379.73
MNAR_h,05,knn_k_10,32.7,7096.84
MNAR_h,05,knn_k_100,33.98,7360.43
MNAR_h,05,mlp_opt_001,29.86,1526.23
MNAR_h,05,mlp_opt_0001,35.49,1524.79
MNAR_h,25,mean,23.96,74.05
MNAR_h,25,reg_opt_001,20.3,262.78
MNAR_h,25,reg_opt_0001,20.63,267.87
MNAR_h,25,reg_opt_00001,20.7,260.7
MNAR_h,25,tree_gp_1000,21.5,358.6
MNAR_h,25,tree_gp_10000,20.29,351.5
MNAR_h,25,knn_k_10,21.47,6369.58
MNAR_h,25,knn_k_100,21.94,7494.69
MNAR_h,25,mlp_opt_001,20.7,1453.53
MNAR_h,25,mlp_opt_0001,22.5,1489.36
