mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MCAR,25,reg_opt_00001,4.96,3.17,409.19,0.0006,3816.76
MCAR,25,tree_gp_10000,4.31,2.63,477.26,0.0007,4197.27
MCAR,25,mlp_opt_0001,6.9,4.87,1895.23,0.0029,8666.58
MCAR,20,mean,10.98,9.07,251.01,0.0004,3091.43
MCAR,20,reg_opt_00001,4.9,3.17,409.57,0.0006,3838.57
MCAR,20,tree_gp_10000,4.26,2.6,490.65,0.0007,4230.9
MCAR,20,mlp_opt_0001,21.34,5.17,1915.0,0.0029,8705.94
MAR_h,5,tree-ad_gp_5000-dw_30000,7.78,5.4,607.16,0.0009,4100.76
MAR_h,10,tree-ad_gp_5000-dw_30000,10.63,7.63,590.34,0.0009,4063.96
MAR_h,15,tree-ad_gp_5000-dw_30000,12.06,8.8,573.14,0.0009,4028.83
MAR_h,25,tree-ad_gp_5000-dw_30000,15.26,11.1,540.29,0.0008,3963.53
MAR_h,20,tree-ad_gp_5000-dw_30000,14.01,10.1,557.77,0.0008,3995.65
MAR_l,5,tree-ad_gp_5000-dw_30000,32.48,27.93,609.11,0.0009,4098.73
MAR_l,10,tree-ad_gp_5000-dw_30000,32.42,27.53,591.59,0.0009,4060.07
MAR_l,15,tree-ad_gp_5000-dw_30000,31.7,26.37,574.35,0.0009,4023.2
MAR_l,20,tree-ad_gp_5000-dw_30000,33.96,28.6,557.75,0.0009,3988.83
MAR_l,25,tree-ad_gp_5000-dw_30000,35.95,30.63,541.43,0.0008,3955.93
MAR_m,5,tree-ad_gp_5000-dw_30000,3.93,2.43,607.3,0.0009,4104.09
MAR_m,10,tree-ad_gp_5000-dw_30000,4.04,2.47,590.05,0.0009,4070.11
MAR_m,15,tree-ad_gp_5000-dw_30000,4.14,2.57,573.04,0.0009,4037.57
MAR_m,20,tree-ad_gp_5000-dw_30000,4.24,2.6,557.21,0.0008,4006.97
MAR_m,25,tree-ad_gp_5000-dw_30000,4.33,2.6,542.29,0.0008,3976.93
MNAR_h,5,tree-ad_gp_5000-dw_30000,25.65,22.03,605.4,0.0009,4099.21
MNAR_h,10,tree-ad_gp_5000-dw_30000,23.62,19.9,585.38,0.0009,4061.27
MNAR_h,15,tree-ad_gp_5000-dw_30000,22.5,18.83,570.89,0.0009,4025.31
MNAR_h,25,tree-ad_gp_5000-dw_30000,20.84,17.3,537.5,0.0008,3958.27
MNAR_h,20,tree-ad_gp_5000-dw_30000,21.63,18.17,552.77,0.0008,3990.77
MNAR_m,5,tree-ad_gp_5000-dw_30000,17.0,10.7,604.3,0.0009,4100.77
MNAR_m,15,tree-ad_gp_5000-dw_30000,15.54,10.1,570.68,0.0009,4028.34
MNAR_m,10,tree-ad_gp_5000-dw_30000,15.9,10.0,588.68,0.0009,4063.61
MNAR_m,20,tree-ad_gp_5000-dw_30000,15.22,10.1,554.54,0.0008,3995.09
MNAR_m,25,tree-ad_gp_5000-dw_30000,15.03,10.17,538.69,0.0008,3963.29
MNAR_l,5,tree-ad_gp_5000-dw_30000,6.33,5.07,606.29,0.0009,4101.93
MNAR_l,10,tree-ad_gp_5000-dw_30000,7.02,5.83,587.61,0.0009,4065.93
MNAR_l,15,tree-ad_gp_5000-dw_30000,7.62,6.43,570.61,0.0009,4031.07
MNAR_l,20,tree-ad_gp_5000-dw_30000,8.31,7.17,555.09,0.0008,3998.28
MNAR_l,25,tree-ad_gp_5000-dw_30000,8.98,7.97,539.27,0.0008,3966.79
MCAR,5,tree-ad_gp_5000-dw_30000,3.66,2.23,353.74,0.0005,4104.16
MCAR,10,tree-ad_gp_5000-dw_30000,3.71,2.3,344.8,0.0005,4070.17
MCAR,15,tree-ad_gp_5000-dw_30000,3.77,2.33,336.61,0.0005,4037.84
MCAR,20,tree-ad_gp_5000-dw_30000,3.83,2.33,328.54,0.0005,4007.05
MCAR,25,tree-ad_gp_5000-dw_30000,3.89,2.37,320.87,0.0005,3977.47
MNAR_l,5,mean,19.93,19.67,318.45,0.0005,3090.92
MNAR_l,5,reg_opt_00001,7.12,6.0,562.64,0.0009,3907.75
MNAR_l,5,tree_gp_10000,7.26,5.97,677.07,0.001,4305.3
MNAR_l,5,mlp_opt_0001,8.79,7.77,2425.49,0.0037,8836.17
MNAR_l,15,mean,19.15,18.83,321.19,0.0005,3091.25
MNAR_l,15,reg_opt_00001,8.31,7.17,543.63,0.0008,3854.73
MNAR_l,15,tree_gp_10000,8.39,7.17,639.51,0.001,4226.82
MNAR_l,15,mlp_opt_0001,10.02,9.17,2346.86,0.0036,8746.86
MNAR_l,25,mean,19.24,18.9,316.15,0.0005,3091.5
MNAR_l,25,reg_opt_00001,9.59,8.63,519.66,0.0008,3806.85
MNAR_l,25,tree_gp_10000,9.58,8.37,615.36,0.0009,4180.25
MNAR_l,25,mlp_opt_0001,11.74,10.9,2298.06,0.0035,8665.31
MNAR_l,20,mean,19.15,18.83,316.81,0.0005,3091.38
MNAR_l,20,reg_opt_00001,8.95,8.13,534.25,0.0008,3830.28
MNAR_l,20,tree_gp_10000,9.02,7.8,636.57,0.001,4225.63
MNAR_l,20,mlp_opt_0001,10.63,9.73,2323.22,0.0035,8704.67
MNAR_l,10,mean,19.38,19.1,316.76,0.0005,3091.09
MNAR_l,10,reg_opt_00001,7.72,6.73,559.48,0.0009,3880.65
MNAR_l,10,tree_gp_10000,7.86,6.73,656.1,0.001,4267.09
MNAR_l,10,mlp_opt_0001,9.3,8.4,2396.93,0.0036,8790.12
MNAR_m,15,mean,27.22,23.75,314.66,0.0005,3091.26
MNAR_m,15,reg_opt_00001,16.55,11.27,539.24,0.0008,3854.67
MNAR_m,15,tree_gp_10000,16.54,11.2,634.48,0.001,4249.44
MNAR_m,15,mlp_opt_0001,18.18,13.2,2340.29,0.0036,8746.76
MNAR_m,5,mean,34.78,31.45,316.54,0.0005,3090.93
MNAR_m,5,reg_opt_00001,18.45,12.73,557.27,0.0009,3906.71
MNAR_m,5,tree_gp_10000,18.67,12.2,663.45,0.001,4296.64
MNAR_m,5,mlp_opt_0001,20.9,15.03,2385.78,0.0037,8836.13
MNAR_m,10,mean,30.02,26.38,317.79,0.0005,3091.09
MNAR_m,10,reg_opt_00001,17.18,11.58,546.86,0.0008,3880.07
MNAR_m,10,tree_gp_10000,17.2,11.37,647.19,0.001,4293.27
MNAR_m,10,mlp_opt_0001,19.51,14.33,2358.91,0.0036,8790.36
MNAR_m,20,mean,25.26,21.78,317.8,0.0005,3091.42
MNAR_m,20,reg_opt_00001,16.09,11.13,531.43,0.0008,3830.42
MNAR_m,20,tree_gp_10000,16.03,11.03,622.59,0.0009,4229.19
MNAR_m,20,mlp_opt_0001,17.69,12.8,2298.91,0.0035,8705.32
MNAR_m,25,mean,23.72,20.03,309.64,0.0005,3091.57
MNAR_m,25,reg_opt_00001,15.7,11.0,522.93,0.0008,3807.05
MNAR_m,25,tree_gp_10000,15.59,10.8,613.59,0.0009,4207.2
MNAR_m,25,mlp_opt_0001,17.46,12.73,2281.64,0.0035,8665.96
MNAR_h,20,mean,29.33,25.67,317.87,0.0005,3091.42
MNAR_h,20,reg_opt_00001,22.02,18.67,535.45,0.0008,3829.72
MNAR_h,20,tree_gp_10000,21.66,18.13,630.5,0.001,4231.44
MNAR_h,20,mlp_opt_0001,23.9,20.53,2312.93,0.0035,8686.89
MNAR_h,25,mean,27.39,23.67,316.71,0.0005,3091.58
MNAR_h,25,reg_opt_00001,21.0,17.63,516.78,0.0008,3806.66
MNAR_h,25,tree_gp_10000,20.65,17.13,614.47,0.0009,4219.65
MNAR_h,25,mlp_opt_0001,22.62,19.2,2275.59,0.0035,8648.15
MNAR_h,15,mean,31.97,28.27,316.01,0.0005,3091.28
MNAR_h,15,reg_opt_00001,23.22,19.87,540.86,0.0008,3854.52
MNAR_h,15,tree_gp_10000,22.89,19.37,637.79,0.001,4268.58
MNAR_h,15,mlp_opt_0001,24.61,21.23,2348.87,0.0036,8728.11
MNAR_h,5,mean,42.88,39.3,314.56,0.0005,3090.93
MNAR_h,5,reg_opt_00001,27.4,24.4,561.46,0.0008,3907.24
MNAR_h,5,tree_gp_10000,27.28,23.83,671.86,0.001,4308.05
MNAR_h,5,mlp_opt_0001,29.68,26.4,2401.51,0.0037,8816.57
MNAR_h,10,mean,35.79,32.07,316.45,0.0005,3091.11
MNAR_h,10,reg_opt_00001,24.8,21.65,547.18,0.0008,3880.18
MNAR_h,10,tree_gp_10000,24.65,20.77,661.74,0.001,4276.11
MNAR_h,10,mlp_opt_0001,26.28,22.97,2361.94,0.0036,8771.18
