mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MCAR,AAXAA7Z,15,mlp_opt_0001,8.46,5.0,1881.09,0.003,8361.39
MCAR,AA2KP1S,5,mean,8.38,7.0,323.08,0.0004,3811.83
MCAR,AA2KP1S,5,reg_opt_00001,3.91,2.0,545.61,0.0007,4822.44
MCAR,AA2KP1S,5,tree_gp_10000,3.42,2.0,628.76,0.0008,5246.79
MCAR,AA2KP1S,5,mlp_opt_0001,6.31,5.0,2418.28,0.003,10894.56
MCAR,AA2KP1S,20,mean,8.41,7.0,304.01,0.0004,3812.45
MCAR,AA2KP1S,20,reg_opt_00001,4.05,3.0,498.03,0.0006,4734.16
MCAR,AA2KP1S,20,tree_gp_10000,3.55,2.0,607.67,0.0008,5255.67
MCAR,AA2KP1S,20,mlp_opt_0001,6.49,5.0,2331.35,0.0029,10736.28
MCAR,AA2KP1S,10,mean,8.41,7.0,299.03,0.0004,3812.05
MCAR,AA2KP1S,10,reg_opt_00001,3.96,2.0,495.65,0.0006,4791.01
MCAR,AA2KP1S,10,tree_gp_10000,3.42,2.0,649.21,0.0008,5449.83
MCAR,AA2KP1S,10,mlp_opt_0001,6.39,5.0,2421.39,0.003,10841.94
MCAR,AA2KP1S,15,mean,8.39,7.0,309.67,0.0004,3812.25
MCAR,AA2KP1S,15,reg_opt_00001,4.0,3.0,532.47,0.0007,4762.47
MCAR,AA2KP1S,15,tree_gp_10000,3.46,2.0,640.61,0.0008,5259.78
MCAR,AA2KP1S,15,mlp_opt_0001,6.43,5.0,2399.63,0.003,10787.08
MCAR,AA2KP1S,25,mean,8.4,7.0,328.14,0.0004,3812.64
MCAR,AA2KP1S,25,reg_opt_00001,4.09,3.0,535.04,0.0007,4707.16
MCAR,AA2KP1S,25,tree_gp_10000,3.56,2.0,570.06,0.0007,5163.48
MCAR,AA2KP1S,25,mlp_opt_0001,6.52,5.0,2358.06,0.0029,10687.9
MCAR,APGIB2T,10,mean,8.65,8.0,67.31,0.0004,721.4
MCAR,APGIB2T,10,reg_opt_00001,5.15,4.0,92.21,0.0006,906.61
MCAR,APGIB2T,10,tree_gp_10000,4.66,3.0,131.08,0.0009,941.64
MCAR,APGIB2T,10,mlp_opt_0001,7.62,6.0,436.84,0.0029,2051.33
MCAR,APGIB2T,5,mean,8.67,8.0,66.27,0.0004,721.36
MCAR,APGIB2T,5,reg_opt_00001,5.16,4.0,92.87,0.0006,912.57
MCAR,APGIB2T,5,tree_gp_10000,4.59,3.0,116.44,0.0008,948.32
MCAR,APGIB2T,5,mlp_opt_0001,7.66,6.0,444.06,0.0029,2062.63
MCAR,APGIB2T,15,mean,8.65,8.0,51.19,0.0003,721.44
MCAR,APGIB2T,15,reg_opt_00001,5.2,4.0,88.07,0.0006,901.26
MCAR,APGIB2T,15,tree_gp_10000,4.67,3.0,105.92,0.0007,937.74
MCAR,APGIB2T,15,mlp_opt_0001,2.9,2.0,438.8,0.0029,2041.64
MCAR,APGIB2T,20,mean,8.67,8.0,60.13,0.0004,721.48
MCAR,APGIB2T,20,reg_opt_00001,5.27,4.0,88.07,0.0006,895.89
MCAR,APGIB2T,20,tree_gp_10000,4.72,3.0,99.64,0.0007,931.94
MCAR,APGIB2T,20,mlp_opt_0001,7.71,6.0,446.26,0.0029,2031.74
MCAR,APGIB2T,25,mean,8.64,8.0,51.3,0.0003,721.51
MCAR,APGIB2T,25,reg_opt_00001,5.33,4.0,96.17,0.0006,890.78
MCAR,APGIB2T,25,tree_gp_10000,4.75,3.0,99.96,0.0007,926.54
MCAR,APGIB2T,25,mlp_opt_0001,7.73,6.0,465.54,0.0031,2022.71
MCAR,AHYIJDV,10,mean,9.87,7.0,255.63,0.0004,3258.74
MCAR,AHYIJDV,10,reg_opt_00001,4.19,3.0,401.32,0.0006,4096.3
MCAR,AHYIJDV,10,tree_gp_10000,3.64,2.0,494.12,0.0007,4695.34
MCAR,AHYIJDV,10,mlp_opt_0001,1.92,1.0,1977.62,0.0029,9266.95
MCAR,AHYIJDV,15,mean,9.91,7.0,263.45,0.0004,3258.91
MCAR,AHYIJDV,15,reg_opt_00001,4.25,3.0,441.08,0.0006,4071.15
MCAR,AHYIJDV,15,tree_gp_10000,3.7,2.0,508.41,0.0007,4588.25
MCAR,AHYIJDV,15,mlp_opt_0001,7.03,5.0,1967.06,0.0029,9222.39
MCAR,AHYIJDV,25,mean,9.9,7.0,262.27,0.0004,3259.24
MCAR,AHYIJDV,25,reg_opt_00001,4.36,3.0,445.37,0.0006,4023.36
MCAR,AHYIJDV,25,tree_gp_10000,3.77,2.0,475.49,0.0007,4414.0
MCAR,AHYIJDV,25,mlp_opt_0001,7.16,5.0,2014.24,0.0029,9136.75
MCAR,AHYIJDV,5,mean,9.87,7.0,302.8,0.0004,3258.55
MCAR,AHYIJDV,5,reg_opt_00001,4.13,2.0,451.18,0.0007,4122.56
MCAR,AHYIJDV,5,tree_gp_10000,3.62,2.0,549.27,0.0008,4768.5
MCAR,AHYIJDV,5,mlp_opt_0001,1.89,1.0,2151.52,0.0031,9315.59
MCAR,AHYIJDV,20,mean,9.9,7.0,246.72,0.0004,3259.08
