MR,Accuracy,Precision,Recall,F1_Score,i,Mechanism
20,53.14477112020841,73.4945959855893,65.74585635359117,69.40461725394897,5,MCAR
25,48.12522752093192,69.68898260411176,60.86556169429097,64.97911034652249,5,MCAR
05,72.79900332225914,88.13474107591755,80.70902394106814,84.25859168469117,1,MAR_l
10,57.405956112852664,79.40379403794037,67.44935543278085,72.94000497883995,1,MAR_l
15,46.11300720515737,72.33789411064842,55.98526703499079,63.11964702828965,1,MAR_l
20,36.82039745031871,66.48612051455653,45.21178637200737,53.822965195944086,1,MAR_l
25,28.421447319085114,60.49481245011972,34.898710865561696,44.26277372262774,1,MAR_l
05,72.79900332225914,88.13474107591755,80.70902394106814,84.25859168469117,2,MAR_l
10,57.405956112852664,79.40379403794037,67.44935543278085,72.94000497883995,2,MAR_l
15,46.11300720515737,72.33789411064842,55.98526703499079,63.11964702828965,2,MAR_l
20,36.82039745031871,66.48612051455653,45.21178637200737,53.822965195944086,2,MAR_l
25,28.421447319085114,60.49481245011972,34.898710865561696,44.26277372262774,2,MAR_l
05,72.79900332225914,88.13474107591755,80.70902394106814,84.25859168469117,3,MAR_l
10,57.405956112852664,79.40379403794037,67.44935543278085,72.94000497883995,3,MAR_l
15,46.11300720515737,72.33789411064842,55.98526703499079,63.11964702828965,3,MAR_l
20,36.82039745031871,66.48612051455653,45.21178637200737,53.822965195944086,3,MAR_l
25,28.421447319085114,60.49481245011972,34.898710865561696,44.26277372262774,3,MAR_l
05,72.79900332225914,88.13474107591755,80.70902394106814,84.25859168469117,4,MAR_l
10,57.405956112852664,79.40379403794037,67.44935543278085,72.94000497883995,4,MAR_l
15,46.11300720515737,72.33789411064842,55.98526703499079,63.11964702828965,4,MAR_l
20,36.82039745031871,66.48612051455653,45.21178637200737,53.822965195944086,4,MAR_l
25,28.421447319085114,60.49481245011972,34.898710865561696,44.26277372262774,4,MAR_l
05,72.79900332225914,88.13474107591755,80.70902394106814,84.25859168469117,5,MAR_l
10,57.405956112852664,79.40379403794037,67.44935543278085,72.94000497883995,5,MAR_l
15,46.11300720515737,72.33789411064842,55.98526703499079,63.11964702828965,5,MAR_l
20,36.82039745031871,66.48612051455653,45.21178637200737,53.822965195944086,5,MAR_l
25,28.421447319085114,60.49481245011972,34.898710865561696,44.26277372262774,5,MAR_l
05,81.63865546218487,90.3300790330079,89.45672191528546,89.8912792042563,1,MAR_m
10,69.87023519870236,85.42389687654934,79.32780847145487,82.26306994509429,1,MAR_m
15,65.01182033096927,81.84523809523809,75.96685082872928,78.79656160458454,1,MAR_m
20,57.57002271006812,76.39377197388248,70.02762430939227,73.07230362719194,1,MAR_m
25,52.509931383170816,70.89224768405656,66.94290976058932,68.86099928960454,1,MAR_m
05,80.2775441547519,90.26004728132388,87.89134438305709,89.05994868206206,2,MAR_m
10,70.08547008547008,85.79970104633782,79.28176795580112,82.41206030150752,2,MAR_m
15,60.971847281141535,78.97102897102897,72.79005524861878,75.7546717776713,2,MAR_m
20,55.57275541795666,77.7056277056277,66.11418047882137,71.44278606965176,2,MAR_m
25,51.29845690628528,73.75541125541125,62.753222836095766,67.81094527363184,2,MAR_m
05,79.74736842105263,90.31950405340964,87.20073664825047,88.73272429140314,3,MAR_m
10,71.7864476386037,86.92192938836399,80.47882136279927,83.57638058809466,3,MAR_m
15,61.747796090456106,78.662109375,74.17127071823204,76.35071090047393,3,MAR_m
20,56.51362448674878,74.91340920336467,69.70534069981585,72.21559742427857,3,MAR_m
25,50.619082301529495,70.77393075356414,63.996316758747696,67.2147001934236,3,MAR_m
05,78.35264900662253,88.58212447356107,87.15469613259668,87.8626131352982,4,MAR_m
10,68.9167340339531,84.95266567015446,78.49907918968692,81.5984685331419,4,MAR_m
15,60.566110895696,79.3296089385475,71.91528545119705,75.44071480318763,4,MAR_m
20,54.35514018691588,74.2973939703628,66.94290976058932,70.4286752240252,4,MAR_m
25,49.81857764876633,70.15840572304548,63.21362799263351,66.50520707193024,4,MAR_m
05,79.34093789607097,90.59334298118668,86.46408839779005,88.48056537102474,5,MAR_m
10,68.19645732689212,84.44666001994018,77.99263351749539,81.09143130684538,5,MAR_m
15,62.64254817145104,81.10997963340122,73.34254143646409,77.03094777562863,5,MAR_m
20,54.965883244882484,75.67849686847599,66.75874769797421,70.93933463796476,5,MAR_m
25,50.278293135435995,72.15122470713526,62.38489871086556,66.91358024691357,5,MAR_m
05,75.66889632107024,89.16256157635468,83.33333333333334,86.14945264159924,1,MAR_h
10,63.654223968565816,81.28449573507275,74.58563535911603,77.79111644657863,1,MAR_h
15,55.58970418747599,77.05005324813632,66.6206261510129,71.4567901234568,1,MAR_h
20,50.76161462300076,74.59429210968102,61.37200736648251,67.34023743369536,1,MAR_h
25,46.04668674698795,71.64616285881664,56.307550644567215,63.05748904356793,1,MAR_h
05,75.66889632107024,89.16256157635468,83.33333333333334,86.14945264159924,2,MAR_h
10,63.654223968565816,81.28449573507275,74.58563535911603,77.79111644657863,2,MAR_h
15,55.58970418747599,77.05005324813632,66.6206261510129,71.4567901234568,2,MAR_h
20,50.76161462300076,74.59429210968102,61.37200736648251,67.34023743369536,2,MAR_h
25,46.04668674698795,71.64616285881664,56.307550644567215,63.05748904356793,2,MAR_h
05,75.66889632107024,89.16256157635468,83.33333333333334,86.14945264159924,3,MAR_h
10,63.654223968565816,81.28449573507275,74.58563535911603,77.79111644657863,3,MAR_h
15,55.58970418747599,77.05005324813632,66.6206261510129,71.4567901234568,3,MAR_h
20,50.76161462300076,74.59429210968102,61.37200736648251,67.34023743369536,3,MAR_h
25,46.04668674698795,71.64616285881664,56.307550644567215,63.05748904356793,3,MAR_h
05,75.66889632107024,89.16256157635468,83.33333333333334,86.14945264159924,4,MAR_h
10,63.654223968565816,81.28449573507275,74.58563535911603,77.79111644657863,4,MAR_h
15,55.58970418747599,77.05005324813632,66.6206261510129,71.4567901234568,4,MAR_h
20,50.76161462300076,74.59429210968102,61.37200736648251,67.34023743369536,4,MAR_h
25,46.04668674698795,71.64616285881664,56.307550644567215,63.05748904356793,4,MAR_h
05,75.66889632107024,89.16256157635468,83.33333333333334,86.14945264159924,5,MAR_h
10,63.654223968565816,81.28449573507275,74.58563535911603,77.79111644657863,5,MAR_h
15,55.58970418747599,77.05005324813632,66.6206261510129,71.4567901234568,5,MAR_h
20,50.76161462300076,74.59429210968102,61.37200736648251,67.34023743369536,5,MAR_h
25,46.04668674698795,71.64616285881664,56.307550644567215,63.05748904356793,5,MAR_h
05,71.45953757225433,76.84537684537685,91.06813996316758,83.354403708386,1,MNAR_l
10,59.34658134051869,68.85502149277062,81.12338858195211,74.48742337772141,1,MNAR_l
15,49.10477453580902,63.69892473118279,68.18600368324125,65.86613297754059,1,MNAR_l
20,43.79172229639519,61.42322097378277,60.40515653775322,60.90993500464252,1,MNAR_l
25,38.842688842688844,61.089918256130794,51.61141804788214,55.952083853256795,1,MNAR_l
05,71.32061892767182,76.55465430668211,91.25230202578268,83.25981936567946,2,MNAR_l
10,59.78334461746784,69.30926216640503,81.30755064456721,74.83050847457626,2,MNAR_l
15,49.119893723015615,63.80500431406385,68.0939226519337,65.87973273942094,2,MNAR_l
20,44.048016005335114,61.49906890130353,60.8195211786372,61.157407407407405,2,MNAR_l
25,38.5778083132944,60.31149301825993,51.70349907918968,55.67674764501734,2,MNAR_l
05,70.89285714285715,75.96632223497896,91.39042357274401,82.96760710553815,3,MNAR_l
10,59.3939393939394,68.85245901639344,81.21546961325967,74.52471482889733,3,MNAR_l
15,49.30647291941876,63.55896126011068,68.73848987108656,66.04733466047334,3,MNAR_l
20,43.925233644859816,61.49532710280374,60.58931860036832,61.038961038961034,3,MNAR_l
25,38.49862258953168,60.432432432432435,51.47329650092081,55.594231725509694,3,MNAR_l
05,71.47470398277717,76.40966628308401,91.71270718232044,83.36472065285626,4,MNAR_l
10,60.25947422328439,69.98413957176844,81.26151012891344,75.2023860247124,4,MNAR_l
15,49.61781322698571,64.07725321888412,68.73848987108656,66.32607729897823,4,MNAR_l
20,43.075898801597866,60.86547507055503,59.576427255985266,60.21405304792926,4,MNAR_l
25,38.60561914672216,61.01973684210527,51.24309392265194,55.70570570570571,4,MNAR_l
05,71.79302910528207,76.58106554235339,91.9889502762431,83.5808408282786,5,MNAR_l
10,59.42567567567567,69.06164114644679,80.9852670349908,74.5496927315109,5,MNAR_l
15,49.70139349701393,64.01709401709401,68.96869244935543,66.40070921985816,5,MNAR_l
20,43.7625754527163,61.702127659574465,60.0828729281768,60.8817354793562,5,MNAR_l
25,37.985562048814025,59.989142236699244,50.87476979742173,55.0572994519183,5,MNAR_l
05,74.37923250564334,80.26796589524969,91.02209944751381,85.3074433656958,1,MNAR_m
10,65.32859680284191,74.0934730056406,84.66850828729282,79.02879243661367,1,MNAR_m
15,57.710760795065106,69.30041152263374,77.53222836095765,73.18557149065624,1,MNAR_m
20,53.3977348434377,65.88573777229757,73.80294659300183,69.61997828447339,1,MNAR_m
25,45.5607476635514,62.35724074920055,62.84530386740331,62.60032102728732,1,MNAR_m
05,73.46254193067462,79.41176470588235,90.74585635359117,84.7013321873657,2,MNAR_m
10,65.00881834215167,73.54349561053472,84.85267034990792,78.7943565626336,2,MNAR_m
15,58.01709401709402,69.26530612244898,78.13075506445672,73.43141497187364,2,MNAR_m
20,52.82579787234043,65.5257731958763,73.15837937384899,69.13204263650206,2,MNAR_m
25,46.73400673400673,63.494967978042084,63.90423572744015,63.69894446994034,2,MNAR_m
05,74.63193657984145,80.56234718826406,91.02209944751381,85.47341115434502,3,MNAR_m
10,65.29664045746962,74.48022829188749,84.11602209944752,79.0054054054054,3,MNAR_m
15,58.35907998626845,69.64358869315855,78.26887661141805,73.70474745285064,3,MNAR_m
20,53.58224016145308,66.54135338345864,73.34254143646409,69.77660972404732,3,MNAR_m
25,45.97548857237496,62.10290827740492,63.90423572744015,62.99069661901521,3,MNAR_m
05,73.82022471910112,79.82989064398542,90.74585635359117,84.93859082094377,4,MNAR_m
10,65.56031406138473,74.46291041751115,84.57642725598527,79.19810303944816,4,MNAR_m
15,57.66746004760286,68.80324543610547,78.08471454880295,73.15074401552727,4,MNAR_m
20,53.17647058823529,66.33123689727464,72.83609576427256,69.43164362519201,4,MNAR_m
25,45.96827495042961,61.95991091314031,64.04235727440147,62.983925741453476,4,MNAR_m
05,74.16321925535915,80.19520130134201,90.79189686924494,85.16519110343339,5,MNAR_m
10,65.81560283687942,74.12140575079871,85.451197053407,79.3840889649273,5,MNAR_m
15,57.80287474332649,69.24969249692496,77.76243093922652,73.25959661678596,5,MNAR_m
20,53.0967525945765,66.05581007913369,73.02025782688766,69.3636562431664,5,MNAR_m
25,46.34551495016611,62.47201074787282,64.22651933701657,63.33711691259932,5,MNAR_m
05,78.11461794019934,88.85214926783183,86.60220994475138,87.71275355560736,1,MNAR_h
10,67.4577634754626,84.22903063787042,77.20994475138122,80.56689887100649,1,MNAR_h
15,56.85376097747232,76.91115702479338,68.55432780847146,72.49269717624148,1,MNAR_h
20,49.02537697682972,70.90425531914893,61.37200736648251,65.79466929911155,1,MNAR_h
25,43.31256870648589,67.9700977573318,54.41988950276243,60.444899002812576,1,MNAR_h
05,78.62785862785863,89.030131826742,87.06261510128913,88.03538175046555,2,MNAR_h
10,67.5,84.46014127144299,77.07182320441989,80.59701492537313,2,MNAR_h
15,57.537399309551205,77.51937984496125,69.06077348066299,73.04601899196494,2,MNAR_h
20,48.775055679287306,71.56862745098039,60.49723756906077,65.5688622754491,2,MNAR_h
25,41.13138686131387,66.4896755162242,51.887661141804784,58.288078613912596,2,MNAR_h
05,78.39634399667636,88.92554194156456,86.87845303867402,87.89007918025152,3,MNAR_h
10,67.44372990353698,84.15245737211634,77.25598526703499,80.55688910225636,3,MNAR_h
15,57.23558610156548,77.02980472764645,69.0147329650092,72.80233122875183,3,MNAR_h
20,47.98957557706627,71.49195784803106,59.346224677716386,64.85534591194968,3,MNAR_h
25,41.89636163175303,67.49555950266429,52.48618784530387,59.05205905205906,3,MNAR_h
05,78.60116569525395,89.14069877242682,86.92449355432781,88.01864801864802,4,MNAR_h
10,67.3076923076923,83.8323353293413,77.34806629834254,80.45977011494253,4,MNAR_h
15,56.84330918795273,76.77651905252317,68.646408839779,72.48420029168693,4,MNAR_h
20,48.035581912527796,71.13062568605928,59.66850828729282,64.89734601902855,4,MNAR_h
25,41.792141020932796,67.37714624037892,52.39410681399632,58.94845894845895,4,MNAR_h
05,78.55361596009975,88.98305084745762,87.01657458563537,87.98882681564247,5,MNAR_h
10,67.4718196457327,84.30583501006036,77.16390423572744,80.57692307692308,5,MNAR_h
15,57.365816520746094,76.80937818552498,69.3830570902394,72.90759554910498,5,MNAR_h
20,47.676991150442475,70.54009819967266,59.53038674033149,64.5692883895131,5,MNAR_h
25,42.57279764098784,68.10141509433963,53.17679558011049,59.72078593588418,5,MNAR_h
