MR,Accuracy,Precision,Recall,F1_Score,i,Mechanism
05,81.14874815905743,89.84916428862617,89.33927847588163,89.59349593495935,1,MAR_m
10,68.45545235638116,81.89300411522635,80.66477503040129,81.27424954053502,1,MAR_m
15,60.978792822185966,75.76003242805027,75.76003242805027,75.76003242805027,1,MAR_m
20,55.604534005037785,71.35353535353536,71.58492095662749,71.46904087414003,1,MAR_m
25,51.55376009944065,68.83817427385893,67.24766923388731,68.0336272298544,1,MAR_m
05,80.8666911494675,89.58502847843775,89.25820835022294,89.42131979695431,2,MAR_m
10,69.53983516483517,81.9838056680162,82.08350222942845,82.03362365809195,2,MAR_m
15,58.98555592878737,77.49338040600176,71.17957032833401,74.20240862032537,2,MAR_m
20,53.56566634398193,72.42582897033158,67.28820429671666,69.76255515864676,2,MAR_m
25,49.53777494421422,69.87410071942446,62.99148763680583,66.25452995096995,2,MAR_m
05,80.04402054292002,89.38959442851291,88.44750709363599,88.91605541972291,3,MAR_m
10,69.93395898505388,83.07184145334435,81.55654641264694,82.30722029044794,3,MAR_m
15,63.799525905858445,79.49367088607595,76.36805837049047,77.89952449865619,3,MAR_m
20,57.062334217506624,75.81497797356829,69.76084312930685,72.66202237703189,3,MAR_m
25,53.64751452550033,72.48146532926297,67.36927442237536,69.83193277310924,3,MAR_m
05,80.0,88.60249697946033,89.17713822456425,88.88888888888889,4,MAR_m
10,69.60138648180244,82.76999175597692,81.39440616132954,82.07643572450439,4,MAR_m
15,60.31693628260152,76.47551276684806,74.05755978921768,75.24711696869853,4,MAR_m
20,55.20799742018704,72.97527706734867,69.39602756384272,71.14066071057552,4,MAR_m
25,49.8539435248296,71.44186046511628,62.26185650587759,66.53671215074725,4,MAR_m
05,78.63652934742981,88.65598027127004,87.43413052290231,88.04081632653062,5,MAR_m
10,68.76949740034662,82.59783513738552,80.42156465342522,81.49517354692955,5,MAR_m
15,61.853593015446606,78.2830429239269,74.66558573165788,76.43153526970954,5,MAR_m
20,57.62376237623762,75.61715028150715,70.77421970004053,73.11557788944724,5,MAR_m
25,51.24959428756897,72.00182398540812,64.00486420753953,67.76824034334766,5,MAR_m
05,75.75757575757575,89.55875928352992,83.09687880016214,86.20689655172413,1,MAR_h
10,63.2956152758133,83.21710832171082,72.55776246453182,77.52273711563447,1,MAR_h
15,54.18918918918919,76.4902241297091,65.01824077827321,70.28921998247152,1,MAR_h
20,47.548190733851875,74.15611814345992,56.99229833806242,64.4510657804263,1,MAR_h
25,40.01982815598149,68.41807909604519,49.08796108633968,57.163087089922115,1,MAR_h
05,75.75757575757575,89.55875928352992,83.09687880016214,86.20689655172413,2,MAR_h
10,63.2956152758133,83.21710832171082,72.55776246453182,77.52273711563447,2,MAR_h
15,54.18918918918919,76.4902241297091,65.01824077827321,70.28921998247152,2,MAR_h
20,47.548190733851875,74.15611814345992,56.99229833806242,64.4510657804263,2,MAR_h
25,40.01982815598149,68.41807909604519,49.08796108633968,57.163087089922115,2,MAR_h
05,75.75757575757575,89.55875928352992,83.09687880016214,86.20689655172413,3,MAR_h
10,63.2956152758133,83.21710832171082,72.55776246453182,77.52273711563447,3,MAR_h
15,54.18918918918919,76.4902241297091,65.01824077827321,70.28921998247152,3,MAR_h
20,47.548190733851875,74.15611814345992,56.99229833806242,64.4510657804263,3,MAR_h
25,40.01982815598149,68.41807909604519,49.08796108633968,57.163087089922115,3,MAR_h
05,75.75757575757575,89.55875928352992,83.09687880016214,86.20689655172413,4,MAR_h
10,63.2956152758133,83.21710832171082,72.55776246453182,77.52273711563447,4,MAR_h
15,54.18918918918919,76.4902241297091,65.01824077827321,70.28921998247152,4,MAR_h
20,47.548190733851875,74.15611814345992,56.99229833806242,64.4510657804263,4,MAR_h
25,40.01982815598149,68.41807909604519,49.08796108633968,57.163087089922115,4,MAR_h
05,75.75757575757575,89.55875928352992,83.09687880016214,86.20689655172413,5,MAR_h
10,63.2956152758133,83.21710832171082,72.55776246453182,77.52273711563447,5,MAR_h
15,54.18918918918919,76.4902241297091,65.01824077827321,70.28921998247152,5,MAR_h
20,47.548190733851875,74.15611814345992,56.99229833806242,64.4510657804263,5,MAR_h
25,40.01982815598149,68.41807909604519,49.08796108633968,57.163087089922115,5,MAR_h
05,82.92227204783259,91.39209225700165,89.94730441832185,90.66394279877426,1,MNAR_l
10,74.49615243679003,88.5838779956427,82.40778273206324,85.38429231415373,1,MNAR_l
15,67.15616045845272,85.22727272727273,76.00324280502635,80.35140347118063,1,MNAR_l
20,60.22686990428926,82.75694106186069,68.86907174706121,75.17699115044248,1,MNAR_l
25,53.108897286155965,77.68844221105527,62.66720713417106,69.37401839802557,1,MNAR_l
05,82.79208659947741,91.27572016460906,89.9067693554925,90.58607310598326,2,MNAR_l
10,74.60550458715596,88.7385421213444,82.40778273206324,85.45607398066414,2,MNAR_l
15,67.38351254480287,85.33817521561508,76.20591811917309,80.51391862955032,2,MNAR_l
20,60.14159292035398,82.5960136120564,68.86907174706121,75.1105216622458,2,MNAR_l
25,52.85223367697595,77.63755678950025,62.34292663153628,69.15467625899281,2,MNAR_l
05,83.18352059925094,91.62541254125412,90.02837454398053,90.81987323655694,3,MNAR_l
10,74.87179487179488,88.59991330732552,82.85366842318605,85.63049853372434,3,MNAR_l
15,67.44436468054559,85.48680618744314,76.16538305634374,80.55734190782424,3,MNAR_l
20,60.297766749379655,82.77372262773723,68.95014187271991,75.23219814241486,3,MNAR_l
25,53.0949105914718,77.78337531486146,62.58613700851237,69.36208445642407,3,MNAR_l
05,83.02169035153328,91.47095179233622,89.9878394811512,90.72333469554556,4,MNAR_l
10,74.71601319164529,88.6136462407649,82.65099310903932,85.52852348993288,4,MNAR_l
15,67.31182795698925,85.32485233984552,76.1248479935144,80.46272493573264,4,MNAR_l
20,60.61789772727273,83.02529182879378,69.19335224969598,75.48087552509398,4,MNAR_l
25,52.99586776859504,77.88461538461539,62.38346169436563,69.27751519243755,4,MNAR_l
05,82.56812243374392,91.25412541254126,89.66355897851642,90.45185033735433,5,MNAR_l
10,74.81644640234948,88.80174291938998,82.61045804620997,85.5942881142377,5,MNAR_l
15,67.42016505202727,85.44793087767168,76.16538305634374,80.54007715387912,5,MNAR_l
20,59.639193491333565,82.40469208211144,68.34211593027969,74.71748282738756,5,MNAR_l
25,52.78541953232462,77.68218623481782,62.22132144304824,69.09745667341886,5,MNAR_l
05,58.22991508817766,74.97897392767031,72.27401702472639,73.6016511867905,1,MNAR_m
10,46.95652173913044,66.75496688741723,61.28901499797325,63.905325443786985,1,MNAR_m
15,40.804953560371516,63.33493512734263,53.42521280907986,57.95954265611258,1,MNAR_m
20,35.17809832204887,56.23529411764706,48.439400081070126,52.04703832752613,1,MNAR_m
25,29.793424498108816,51.35406218655968,41.50790433725172,45.90898901591572,1,MNAR_m
05,57.779947916666664,74.57983193277312,71.94973652209161,73.24118011140911,2,MNAR_m
10,46.589847399564,66.78571428571428,60.64045399270369,63.56490333545782,2,MNAR_m
15,41.18732697631498,63.07112576542628,54.276449128496154,58.34422657952071,2,MNAR_m
20,34.83113069016153,55.83804143126178,48.074584515606,51.666303637551735,2,MNAR_m
25,30.384271671134943,53.403141361256544,41.345764085934334,46.607265250171345,2,MNAR_m
05,58.756137479541735,75.32522031053294,72.76043777867855,74.02061855670102,3,MNAR_m
10,46.39207184886962,66.28318584070797,60.72152411836238,63.380579648825886,3,MNAR_m
15,40.758873929008566,62.447257383966246,53.99270368869071,57.91304347826086,3,MNAR_m
20,35.29237162362719,56.86274509803921,48.19618970409404,52.172005265467305,3,MNAR_m
25,31.00475624256837,53.76288659793814,42.27807053100932,47.333787156796,3,MNAR_m
05,57.54625121713729,74.27733556765816,71.86866639643291,73.053152039555,4,MNAR_m
10,47.113884555382214,67.17081850533808,61.207944872314556,64.050901378579,4,MNAR_m
15,40.520673813169985,62.37623762376238,53.62788812322658,57.672188317349615,4,MNAR_m
20,35.505750516071956,56.57894736842105,48.80421564653425,52.404787812840034,4,MNAR_m
25,30.667838312829527,52.50752256770311,42.440210782326716,46.940147948890385,4,MNAR_m
05,58.33878351863964,75.11578947368422,72.31455208755574,73.68855844692277,5,MNAR_m
10,47.48759305210918,66.91433566433567,62.05918119173085,64.39537329127234,5,MNAR_m
15,40.79951174855051,62.27293898462971,54.19537900283745,57.954052882531414,5,MNAR_m
20,34.595070422535215,55.61320754716981,47.79083907580057,51.406147809025505,5,MNAR_m
25,31.000595592614648,53.881987577639755,42.19700040535063,47.32893839508979,5,MNAR_m
05,47.72510340439071,68.93382352941177,60.80259424402108,64.61339651087658,1,MNAR_h
10,33.86018237082067,57.51161590087764,45.15605999189299,50.59037238873751,1,MNAR_h
15,28.23139499849352,52.37562884292901,37.9813538710985,44.03195488721805,1,MNAR_h
20,23.668639053254438,46.70169293636894,32.42805026347791,38.27751196172249,1,MNAR_h
25,21.262848751835538,43.561973525872446,29.347385488447507,35.06902397674982,1,MNAR_h
05,47.51275510204081,69.01343214451134,60.397243615727604,64.41850410722006,2,MNAR_h
10,35.6656346749226,60.15665796344648,46.69639237940819,52.578731172980376,2,MNAR_h
15,27.38379022646007,50.82964601769911,37.251722740170244,42.994152046783626,2,MNAR_h
20,23.543330375628514,46.54970760233918,32.26591001216052,38.11347857313862,2,MNAR_h
25,21.143026354752738,43.96551724137931,28.94203486015403,34.90589098020044,2,MNAR_h
05,47.381864623243935,69.05537459283387,60.15403323875152,64.29809358752168,3,MNAR_h
10,35.33190578158458,59.01890648952478,46.81799756789623,52.21518987341772,3,MNAR_h
15,27.73920917597344,52.067988668555245,37.251722740170244,43.43100189035917,3,MNAR_h
20,23.434284034107616,46.04274985557481,32.30644507498987,37.970462124821346,3,MNAR_h
25,21.396463889721307,45.07575757575758,28.94203486015403,35.25055541841521,3,MNAR_h
05,47.578075207138305,68.99260628465804,60.518848804215644,64.47851435974951,4,MNAR_h
10,35.04430186373358,58.730158730158735,46.49371706526145,51.90045248868779,4,MNAR_h
15,27.129712080736123,50.330396475770925,37.04904742602351,42.68036423067942,4,MNAR_h
20,23.588235294117645,46.22478386167147,32.509120389136605,38.172298905283206,4,MNAR_h
25,20.52863436123348,42.70006108735492,28.33400891771382,34.06432748538012,4,MNAR_h
05,47.655502392344495,69.10268270120258,60.55938386704499,64.54957874270902,5,MNAR_h
10,35.03359804520464,58.70010235414534,46.49371706526145,51.88871296086859,5,MNAR_h
15,28.498344869094193,52.52357182473655,38.386704499391975,44.3559718969555,5,MNAR_h
20,23.31270262304745,46.06872451951077,32.06323469801378,37.81070745697897,5,MNAR_h
25,20.73677956030897,43.706950532247966,28.293473854884475,34.35039370078741,5,MNAR_h
